Proposal No.,Issue URL,Granularity,Directory Level,File Level,Function Level,Code URL
40239,https://github.com/golang/go/issues/40239,file,src/net/url,src/net/url/url.go,N/A,https://github.com/golang/go/blob/master/src/net/url/url.go
,,,,src/net/url/url_test.go,,https://github.com/golang/go/blob/master/src/net/url/url_test.go
47459,https://github.com/golang/go/issues/47459,function,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/typeset.go,not selected,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeset.go
,,,src/go/types,src/go/types/instantiate_test.go,not selected,https://github.com/golang/go/blob/master/src/go/types/instantiate_test.go
,,,,src/go/types/instantiate.go,not selected,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
,,,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/typeparam.go,not selected,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,src/go/types,src/go/types/typeparam.go,not selected,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
29951,https://github.com/golang/go/issues/29951,function,src/math/big,src/math/big/int.go,NewInt,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,Add,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,SetInt64,https://github.com/golang/go/blob/master/src/math/big/int.go
39528,https://github.com/golang/go/issues/39528,directory,src/reflect,N/A,N/A,https://github.com/golang/go/tree/master/src/reflect
44412,https://github.com/golang/go/issues/44412,function,src/time,src/time/time_test.go,TestUnixMilli,https://github.com/golang/go/blob/master/src/time/time_test.go
,,,,,TestUnixMicro,https://github.com/golang/go/blob/master/src/time/time_test.go
,,,,src/time/time.go,UnixMilli,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,UnixMicro,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,Unix,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,unixTime,https://github.com/golang/go/blob/master/src/time/time.go
34593,https://github.com/golang/go/issues/34593,function,src/database/sql/driver,src/database/sql/driver/types.go,not selected,https://github.com/golang/go/blob/master/src/database/sql/driver/types.go
,,,src/database/sql,src/database/sql/sql.go,not selected,https://github.com/golang/go/blob/master/src/database/sql/sql.go
52157,https://github.com/golang/go/issues/52157,function,src/runtime,src/runtime/map_noswiss.go,makemap,https://github.com/golang/go/blob/master/src/runtime/map_noswiss.go
43223,https://github.com/golang/go/issues/43223,file,src/net/http,src/net/http/fs.go,N/A,https://github.com/golang/go/blob/master/src/net/http/fs.go
,,,,src/net/http/server.go,,https://github.com/golang/go/blob/master/src/net/http/server.go
,,,src/io/fs,src/io/fs/fs.go,,https://github.com/golang/go/blob/master/src/io/fs/fs.go
51039,https://github.com/golang/go/issues/51039,function,src/strings,src/strings/strings.go,SplitAfter,https://github.com/golang/go/blob/master/src/strings/strings.go
,,,,,Cut,https://github.com/golang/go/blob/master/src/strings/strings.go
42099,https://github.com/golang/go/issues/42099,function,src/reflect,src/reflect/value.go,NumMethod,https://github.com/golang/go/blob/master/src/reflect/value.go
,,,,src/reflect/type.go,,https://github.com/golang/go/blob/master/src/reflect/type.go
46802,https://github.com/golang/go/issues/46802,file,src/syscall,src/syscall/asm_tamago_arm.s,N/A,https://github.com/golang/go/blob/master/src/syscall/asm_tamago_arm.s
,,,src/runtime,src/runtime/lock_js.go,,https://github.com/golang/go/blob/master/src/runtime/lock_js.go
,,,,src/runtime/os_tamago_arm.go,,https://github.com/golang/go/blob/master/src/runtime/os_tamago_arm.go
,,,src/syscall,src/syscall/time_tamago_arm.s,,https://github.com/golang/go/blob/master/src/syscall/time_tamago_arm.s
,,,src/runtime,src/runtime/mem_plan9.go,,https://github.com/golang/go/blob/master/src/runtime/mem_plan9.go
,,,,src/runtime/rt0_tamago_arm.s,,https://github.com/golang/go/blob/master/src/runtime/rt0_tamago_arm.s
,,,,src/runtime/sys_tamago_arm.s,,https://github.com/golang/go/blob/master/src/runtime/sys_tamago_arm.s
,,,src/syscall,src/syscall/syscall_tamago.go,,https://github.com/golang/go/blob/master/src/syscall/syscall_tamago.go
52310,https://github.com/golang/go/issues/52310,function,src/reflect,src/reflect/value.go,ValueOf,https://github.com/golang/go/blob/master/src/reflect/value.go
,,,,,Set,https://github.com/golang/go/blob/master/src/reflect/value.go
45568,https://github.com/golang/go/issues/45568,function,src/errors,src/errors/wrap.go,Is,https://github.com/golang/go/blob/master/src/errors/wrap.go
,,,,,is,https://github.com/golang/go/blob/master/src/errors/wrap.go
,,,,,As,https://github.com/golang/go/blob/master/src/errors/wrap.go
,,,,,as,https://github.com/golang/go/blob/master/src/errors/wrap.go
