Proposal No.,Issue URL,Granularity,Directory Level,File Level,Function Level,Code URL
40239,https://github.com/golang/go/issues/40239,file,src/net/url,src/net/url/url_test.go,N/A,https://github.com/golang/go/blob/master/src/net/url/url_test.go
,,,,src/net/url/url.go,,https://github.com/golang/go/blob/master/src/net/url/url.go
47459,https://github.com/golang/go/issues/47459,function,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/instantiate_test.go,TestMethodInstantiation,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/instantiate_test.go
,,,src/go/types,src/go/types/instantiate_test.go,,https://github.com/golang/go/blob/master/src/go/types/instantiate_test.go
,,,,src/go/types/typeparam.go,NewTypeParam,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,,,Obj,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,,,Index,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,,,Constraint,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,,,SetConstraint,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,,,Underlying,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,,,String,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/typeparam.go,NewTypeParam,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,newTypeParam,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,Obj,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,Index,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,Constraint,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,SetConstraint,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,Underlying,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,String,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,cleanup,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,iface,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,is,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,,,typeset,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,src/go/types,src/go/types/instantiate.go,Instantiate,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
,,,,,instance,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
,,,,,validateTArgLen,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
,,,,,verify,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
,,,,,mentions,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
,,,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/instantiate.go,Instantiate,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/instantiate.go
,,,,,instance,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/instantiate.go
,,,,,validateTArgLen,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/instantiate.go
,,,,,verify,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/instantiate.go
,,,,,mentions,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/instantiate.go
29951,https://github.com/golang/go/issues/29951,function,src/math/big,src/math/big/int.go,NewInt,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,SetInt64,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,Add,https://github.com/golang/go/blob/master/src/math/big/int.go
39528,https://github.com/golang/go/issues/39528,directory,src/reflect,N/A,N/A,https://github.com/golang/go/tree/master/src/reflect
44412,https://github.com/golang/go/issues/44412,function,src/time,src/time/time.go,UnixMilli,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,UnixMicro,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,Unix,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,unixTime,https://github.com/golang/go/blob/master/src/time/time.go
,,,,src/time/time_test.go,TestUnixMilli,https://github.com/golang/go/blob/master/src/time/time_test.go
,,,,,TestUnixMicro,https://github.com/golang/go/blob/master/src/time/time_test.go
34593,https://github.com/golang/go/issues/34593,function,src/database/sql,src/database/sql/sql.go,NullString,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullInt64,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullInt32,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullInt16,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullByte,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullFloat64,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullBool,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,NullTime,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,Null,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,Scan,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,,,Value,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,src/database/sql/driver,src/database/sql/driver/types.go,IsValue,https://github.com/golang/go/blob/master/src/database/sql/driver/types.go
,,,,,IsScanValue,https://github.com/golang/go/blob/master/src/database/sql/driver/types.go
,,,,,ConvertValue,https://github.com/golang/go/blob/master/src/database/sql/driver/types.go
52157,https://github.com/golang/go/issues/52157,function,src/runtime,src/runtime/map_noswiss.go,makemap,https://github.com/golang/go/blob/master/src/runtime/map_noswiss.go
43223,https://github.com/golang/go/issues/43223,file,src/net/http,src/net/http/server.go,N/A,https://github.com/golang/go/blob/master/src/net/http/server.go
,,,,src/net/http/fs.go,,https://github.com/golang/go/blob/master/src/net/http/fs.go
,,,src/io/fs,src/io/fs/fs.go,,https://github.com/golang/go/blob/master/src/io/fs/fs.go
51039,https://github.com/golang/go/issues/51039,function,src/strings,src/strings/strings.go,Cut,https://github.com/golang/go/blob/master/src/strings/strings.go
42099,https://github.com/golang/go/issues/42099,function,src/reflect,src/reflect/value.go,NumMethod,https://github.com/golang/go/blob/master/src/reflect/value.go
,,,,src/reflect/type.go,,https://github.com/golang/go/blob/master/src/reflect/type.go
