Proposal No.,Issue URL,Granularity,Directory Level,File Level,Function Level,Code URL
40239,https://github.com/golang/go/issues/40239,file,src/net/url,src/net/url/url.go,N/A,https://github.com/golang/go/blob/master/src/net/url/url.go
,,,,src/net/url/url_test.go,,https://github.com/golang/go/blob/master/src/net/url/url_test.go
47459,https://github.com/golang/go/issues/47459,function,src/go/types,src/go/types/typeparam.go,not selected,https://github.com/golang/go/blob/master/src/go/types/typeparam.go
,,,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/typeset.go,not selected,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeset.go
,,,src/go/types,src/go/types/instantiate_test.go,not selected,https://github.com/golang/go/blob/master/src/go/types/instantiate_test.go
,,,src/cmd/compile/internal/types2,src/cmd/compile/internal/types2/typeparam.go,not selected,https://github.com/golang/go/blob/master/src/cmd/compile/internal/types2/typeparam.go
,,,src/go/types,src/go/types/instantiate.go,not selected,https://github.com/golang/go/blob/master/src/go/types/instantiate.go
29951,https://github.com/golang/go/issues/29951,function,src/math/big,src/math/big/int.go,NewInt,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,SetInt64,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,Add,https://github.com/golang/go/blob/master/src/math/big/int.go
39528,https://github.com/golang/go/issues/39528,directory,src/reflect,N/A,N/A,https://github.com/golang/go/tree/master/src/reflect
,,,test,,,https://github.com/golang/go/tree/master/test
44412,https://github.com/golang/go/issues/44412,function,src/time,src/time/time.go,UnixMilli,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,UnixMicro,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,Unix,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,unixTime,https://github.com/golang/go/blob/master/src/time/time.go
,,,,src/time/time_test.go,TestUnixMilli,https://github.com/golang/go/blob/master/src/time/time_test.go
,,,,,TestUnixMicro,https://github.com/golang/go/blob/master/src/time/time_test.go
