Proposal No.,Issue URL,Granularity,Directory Level,File Level,Function Level,Code URL
40239,https://github.com/golang/go/issues/40239,file,src/net/url,src/net/url/url_test.go,N/A,https://github.com/golang/go/blob/master/src/net/url/url_test.go
,,,,src/net/url/url.go,,https://github.com/golang/go/blob/master/src/net/url/url.go
47459,https://github.com/golang/go/issues/47459,function,Analysis incomplete,Analysis incomplete,Analysis incomplete,https://github.com/golang/go
29951,https://github.com/golang/go/issues/29951,function,src/math/big,src/math/big/int.go,NewInt,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,Add,https://github.com/golang/go/blob/master/src/math/big/int.go
,,,,,SetInt64,https://github.com/golang/go/blob/master/src/math/big/int.go
39528,https://github.com/golang/go/issues/39528,directory,src/reflectlite,N/A,N/A,https://github.com/golang/go/tree/master/src/reflectlite
,,,src/runtime,,,https://github.com/golang/go/tree/master/src/runtime
,,,src/reflect,,,https://github.com/golang/go/tree/master/src/reflect
,,,src/go/types,,,https://github.com/golang/go/tree/master/src/go/types
44412,https://github.com/golang/go/issues/44412,function,src/time,src/time/time_test.go,TestUnixMilli,https://github.com/golang/go/blob/master/src/time/time_test.go
,,,,,TestUnixMicro,https://github.com/golang/go/blob/master/src/time/time_test.go
,,,,src/time/time.go,UnixMilli,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,UnixMicro,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,Unix,https://github.com/golang/go/blob/master/src/time/time.go
,,,,,unixTime,https://github.com/golang/go/blob/master/src/time/time.go
34593,https://github.com/golang/go/issues/34593,function,src/database/sql,src/database/sql/sql.go,not selected,https://github.com/golang/go/blob/master/src/database/sql/sql.go
,,,src/database/sql/driver,src/database/sql/driver/types.go,not selected,https://github.com/golang/go/blob/master/src/database/sql/driver/types.go
52157,https://github.com/golang/go/issues/52157,function,src/runtime,src/runtime/map_noswiss.go,makemap,https://github.com/golang/go/blob/master/src/runtime/map_noswiss.go
43223,https://github.com/golang/go/issues/43223,file,src/io/fs,src/io/fs/fs.go,N/A,https://github.com/golang/go/blob/master/src/io/fs/fs.go
,,,src/net/http,src/net/http/fs_test.go,,https://github.com/golang/go/blob/master/src/net/http/fs_test.go
,,,,src/net/http/fs.go,,https://github.com/golang/go/blob/master/src/net/http/fs.go
,,,src/io/fs,src/io/fs/fs_test.go,,https://github.com/golang/go/blob/master/src/io/fs/fs_test.go
51039,https://github.com/golang/go/issues/51039,function,src/strings,src/strings/strings.go,Cut,https://github.com/golang/go/blob/master/src/strings/strings.go
42099,https://github.com/golang/go/issues/42099,function,src/reflect,src/reflect/value.go,NumMethod,https://github.com/golang/go/blob/master/src/reflect/value.go
,,,,src/reflect/type.go,,https://github.com/golang/go/blob/master/src/reflect/type.go
46802,https://github.com/golang/go/issues/46802,file,src/runtime,src/runtime/os_tamago_arm.go,N/A,https://github.com/golang/go/blob/master/src/runtime/os_tamago_arm.go
,,,,src/runtime/lock_js.go,,https://github.com/golang/go/blob/master/src/runtime/lock_js.go
,,,,src/runtime/sys_tamago_arm.s,,https://github.com/golang/go/blob/master/src/runtime/sys_tamago_arm.s
,,,src/syscall,src/syscall/asm_tamago_arm.s,,https://github.com/golang/go/blob/master/src/syscall/asm_tamago_arm.s
,,,,src/syscall/time_tamago_arm.s,,https://github.com/golang/go/blob/master/src/syscall/time_tamago_arm.s
,,,src/runtime,src/runtime/os_js.go,,https://github.com/golang/go/blob/master/src/runtime/os_js.go
,,,,src/runtime/mem_js.go,,https://github.com/golang/go/blob/master/src/runtime/mem_js.go
,,,,src/runtime/os_plan9.go,,https://github.com/golang/go/blob/master/src/runtime/os_plan9.go
,,,,src/runtime/syscall_none.go,,https://github.com/golang/go/blob/master/src/runtime/syscall_none.go
,,,,src/runtime/rt0_tamago_arm.s,,https://github.com/golang/go/blob/master/src/runtime/rt0_tamago_arm.s
,,,src/syscall,src/syscall/syscall_tamago.go,,https://github.com/golang/go/blob/master/src/syscall/syscall_tamago.go
,,,src/runtime,src/runtime/mem_plan9.go,,https://github.com/golang/go/blob/master/src/runtime/mem_plan9.go
,,,,src/runtime/sys_windows_arm.s,,https://github.com/golang/go/blob/master/src/runtime/sys_windows_arm.s
52310,https://github.com/golang/go/issues/52310,function,src/reflect,src/reflect/value.go,Set,https://github.com/golang/go/blob/master/src/reflect/value.go
,,,,,ValueOf,https://github.com/golang/go/blob/master/src/reflect/value.go
45568,https://github.com/golang/go/issues/45568,function,src/errors,src/errors/wrap.go,Is,https://github.com/golang/go/blob/master/src/errors/wrap.go
,,,,,is,https://github.com/golang/go/blob/master/src/errors/wrap.go
,,,,,As,https://github.com/golang/go/blob/master/src/errors/wrap.go
,,,,,as,https://github.com/golang/go/blob/master/src/errors/wrap.go
48702,https://github.com/golang/go/issues/48702,directory,src/encoding/json,N/A,N/A,https://github.com/golang/go/tree/master/src/encoding/json
38891,https://github.com/golang/go/issues/38891,file,src/sync,src/sync/mutex.go,N/A,https://github.com/golang/go/blob/master/src/sync/mutex.go
,,,,src/sync/rwmutex.go,,https://github.com/golang/go/blob/master/src/sync/rwmutex.go
,,,,src/sync/rwmutex_test.go,,https://github.com/golang/go/blob/master/src/sync/rwmutex_test.go
44484,https://github.com/golang/go/issues/44484,file,src/embed/internal/embedtest,src/embed/internal/embedtest/embed_test.go,N/A,https://github.com/golang/go/blob/master/src/embed/internal/embedtest/embed_test.go
,,,src/embed,src/embed/example_test.go,,https://github.com/golang/go/blob/master/src/embed/example_test.go
,,,src/io/fs,src/io/fs/fs_test.go,,https://github.com/golang/go/blob/master/src/io/fs/fs_test.go
,,,test/interface,test/interface/embed1.go,,https://github.com/golang/go/blob/master/test/interface/embed1.go
,,,,test/interface/embed2.go,,https://github.com/golang/go/blob/master/test/interface/embed2.go
,,,,test/interface/embed.go,,https://github.com/golang/go/blob/master/test/interface/embed.go
,,,src/io/fs,src/io/fs/fs.go,,https://github.com/golang/go/blob/master/src/io/fs/fs.go
,,,test/ken,test/ken/embed.go,,https://github.com/golang/go/blob/master/test/ken/embed.go
,,,src/cmd/compile/internal/staticdata,src/cmd/compile/internal/staticdata/embed.go,,https://github.com/golang/go/blob/master/src/cmd/compile/internal/staticdata/embed.go
,,,src/time,src/time/embed.go,,https://github.com/golang/go/blob/master/src/time/embed.go
,,,src/embed/internal/embedtest,src/embed/internal/embedtest/embedx_test.go,,https://github.com/golang/go/blob/master/src/embed/internal/embedtest/embedx_test.go
,,,src/embed,src/embed/embed.go,,https://github.com/golang/go/blob/master/src/embed/embed.go
,,,test/interface,test/interface/embed3.go,,https://github.com/golang/go/blob/master/test/interface/embed3.go
41130,https://github.com/golang/go/issues/41130,function,src/builtin,src/builtin/builtin.go,delete,https://github.com/golang/go/blob/master/src/builtin/builtin.go
,,,src/runtime,src/runtime/map_fast32_swiss.go,mapdelete_fast32,https://github.com/golang/go/blob/master/src/runtime/map_fast32_swiss.go
,,,,src/runtime/map_faststr_swiss.go,mapdelete_faststr,https://github.com/golang/go/blob/master/src/runtime/map_faststr_swiss.go
,,,,src/runtime/map_swiss.go,mapdelete,https://github.com/golang/go/blob/master/src/runtime/map_swiss.go
,,,,src/runtime/map_faststr_noswiss.go,mapdelete_faststr,https://github.com/golang/go/blob/master/src/runtime/map_faststr_noswiss.go
,,,,src/runtime/map_fast64_noswiss.go,mapdelete_fast64,https://github.com/golang/go/blob/master/src/runtime/map_fast64_noswiss.go
,,,,src/runtime/map_fast32_noswiss.go,mapdelete_fast32,https://github.com/golang/go/blob/master/src/runtime/map_fast32_noswiss.go
,,,,src/runtime/map_noswiss.go,mapdelete,https://github.com/golang/go/blob/master/src/runtime/map_noswiss.go
,,,,,reflect_mapdelete,https://github.com/golang/go/blob/master/src/runtime/map_noswiss.go
43217,https://github.com/golang/go/issues/43217,file,src/embed,src/embed/example_test.go,N/A,https://github.com/golang/go/blob/master/src/embed/example_test.go
,,,test/typeparam,test/typeparam/genembed2.go,,https://github.com/golang/go/blob/master/test/typeparam/genembed2.go
,,,src/io/fs,src/io/fs/fs.go,,https://github.com/golang/go/blob/master/src/io/fs/fs.go
,,,src/cmd/compile/internal/staticdata,src/cmd/compile/internal/staticdata/embed.go,,https://github.com/golang/go/blob/master/src/cmd/compile/internal/staticdata/embed.go
,,,test/typeparam,test/typeparam/genembed.go,,https://github.com/golang/go/blob/master/test/typeparam/genembed.go
,,,src/embed,src/embed/embed.go,,https://github.com/golang/go/blob/master/src/embed/embed.go
,,,test/ken,test/ken/embed.go,,https://github.com/golang/go/blob/master/test/ken/embed.go
53510,https://github.com/golang/go/issues/53510,function,src/slices,src/slices/slices.go,not selected,https://github.com/golang/go/blob/master/src/slices/slices.go
,,,,src/slices/slices_test.go,not selected,https://github.com/golang/go/blob/master/src/slices/slices_test.go
51887,https://github.com/golang/go/issues/51887,function,src/strconv,src/strconv/quote.go,unquote,https://github.com/golang/go/blob/master/src/strconv/quote.go
,,,,,appendQuotedWith,https://github.com/golang/go/blob/master/src/strconv/quote.go
,,,,,Unquote,https://github.com/golang/go/blob/master/src/strconv/quote.go
,,,,,QuotedPrefix,https://github.com/golang/go/blob/master/src/strconv/quote.go
